,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
68,9784049145663,星のカービィ　プププヒーロー　プププランド最大の事件！！編,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,あおきけい,4,ＫＡＤＯＫＡＷＡ,43375601.0,星のカービィ　プププヒーロー　プププランド最大の事件！！編,,20221214,3238,,
69,9784774622781,ポコポコクリスマスクッキー,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,さかいさちえ,7746,教育画劇,43372775.0,ポコポコクリスマスクッキー,,20221115,4582,,
70,9784575317619,先生は教えてくれない！クレヨンしんちゃんの折れない心をつくる本,,1076,16,71,5,91,書籍,児童書,学習百科,学習漫画,その他学習漫画,臼井儀人,575,双葉社,43366747.0,先生は教えてくれない！クレヨンしんちゃんの折れない心をつくる本,,20221117,1939,,
71,9784861487880,おまわりさんセット,,1076,16,91,1,91,書籍,児童書,グッズ,グッズ,その他グッズ,,86148,シルバーバック,43375646.0,おまわりさんセット,［バラエティ］,20221020,2174,,
72,9784867163436,まじょねこマーニャ　まほうのゆびわ,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,さかいさちえ,86716,マイクロマガジン社,43360949.0,まじょねこマーニャ　まほうのゆびわ,,20221005,1387,,
73,9784861488047,カチッとクリスタルキューブ,,1076,16,91,1,1,書籍,児童書,グッズ,グッズ,知育玩具,,86148,シルバーバック,43382919.0,カチッとクリスタルキューブ,［バラエティ］,20221110,1743,,
74,9784471104078,うちゅう,,1076,16,81,1,11,書籍,児童書,図鑑,図鑑,学習図鑑シリーズ,山岡均,471,高橋書店,43370519.0,うちゅう,はじめてのずかん,20221129,1788,,
75,9784763140210,ぺんたと小春のめんどいまちがいさがし　ＢＩＧ,,1076,16,61,1,15,書籍,児童書,実用百科,実用百科,迷路・パズル,ペンギン飛行機製作所,7631,サンマーク出版,43368795.0,ぺんたと小春のめんどいまちがいさがし　ＢＩＧ,,20221110,3474,,
76,9784299036124,ドラゴン超絶バトル大図鑑,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,村上健司,299,宝島社,43373399.0,ドラゴン超絶バトル大図鑑,,20221024,1082,,
77,9784299035875,桃太郎電鉄でわかる歴史の英雄大図鑑,,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,村瀬哲史,299,宝島社,43377522.0,桃太郎電鉄でわかる歴史の英雄大図鑑,,20221118,1075,,
