JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784813780731,きゅん恋？あこがれ両想い　５つ,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,神戸遥真,0008137,スターツ出版,43372109,きゅん恋？あこがれ両想い　５つ,,20221118,1013,,
9784410105883,チャート式基礎からの数学２＋Ｂ　新課程,,1076,19,0031,0011,0011,書籍,学習参考書,高校学参,数学,数学Ⅱ・Ｂ,チャート研究所,0000410,数研出版,43371514,チャート式基礎からの数学２＋Ｂ　新課程,,20221025,5041,,
9784049147407,ＨＩＭＡＷＡＲＩちゃんねる　まーちゃん＆おーちゃんをさがせ！！,,1076,16,0007,0004,0001,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,せいらん,0000004,ＫＡＤＯＫＡＷＡ,43390105,ＨＩＭＡＷＡＲＩちゃんねる　まーちゃん＆おーちゃんをさがせ！！,,20230301,1125,,
9784053056191,２０２３年入試用重大ニュース　時事問題に強くなる本　中学・高校入試,,1076,19,0011,0061,0003,書籍,学習参考書,小学学参,中学入試,重大ニュース,Ｇａｋｋｅｎ,0000005,学研プラス,43360369,２０２３年入試用重大ニュース　時事問題に強くなる本　中学・高校入試,,20221013,2729,,
9784579404933,プリンセス・スノーとユニコーン,,1076,16,0007,0003,0092,書籍,児童書,絵本,海外絵本,海外絵本,ジェニー・レン,0000579,文化出版局,43371219,プリンセス・スノーとユニコーン,,20221021,1140,,
9784522803356,サイレンカー　だいずかん　６５ピース,,1076,16,0091,0001,0013,書籍,児童書,グッズ,グッズ,ジグソーパズル,松島浩一郎,0000522,永岡書店,43365873,サイレンカー　だいずかん　６５ピース,頭のいい子を育むジグソー知育パズル,20221011,1783,頭のいい子を育む　ジグソー知育パズル,
9784032214000,ぐいーん！　こうしょさぎょうしゃ,,1076,16,0011,0003,0011,書籍,児童書,幼児絵本,知育絵本,のりもの絵本,竹下文子,0000003,偕成社,43363694,ぐいーん！　こうしょさぎょうしゃ,,20221109,1088,,
9784756257307,だいすきだよ　きょうも　いつまでも,,1076,16,0007,0008,0001,書籍,児童書,絵本,読み聞かせ絵本,読み聞かせ絵本,アメリア・ヘプワース,0007562,パイインターナショナル,43401481,だいすきだよ　きょうも　いつまでも,,20230317,1057,,
9784041125694,きょうりゅうかくれんぼ,,1076,16,0007,0004,0001,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,聞かせ屋。けいたろう,0000004,ＫＡＤＯＫＡＷＡ,43360531,きょうりゅうかくれんぼ,,20221004,11981,,
9784046321756,時間割男子　ヒミツにせまる動物園！,１０,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,一ノ瀬三葉,0000004,ＫＡＤＯＫＡＷＡ,43100036,時間割男子,角川つばさ文庫,20221214,8842,,
9784092536494,ポケモンずかんドリル　小学２年生　たし算・ひき算,,1076,19,0005,0001,0091,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,矢部一夫,0000009,小学館,43396895,ポケモンずかんドリル　小学２年生　たし算・ひき算,知育ドリル,20230222,5865,知育ドリル,
9784065314173,ちいかわえほん　おつかれラーメン,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ナガノ,0000006,講談社,43401909,ちいかわえほん　おつかれラーメン,,20230421,1139,,
9784046321886,理花のおかしな実験室　ふくらむナゾの答えをさがせ！,７,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,やまもとふみ,0000004,ＫＡＤＯＫＡＷＡ,43189443,理花のおかしな実験室,角川つばさ文庫,20221013,2624,,
9784299033833,まいぜんシスターズのまちがいさがしＢＯＯＫ,,1076,16,0007,0004,0001,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,まいぜんシスターズ,0000299,宝島社,43373394,まいぜんシスターズのまちがいさがしＢＯＯＫ,,20221025,10513,,
9784065292495,ウルトラヒーローｖｓ．ウルトラかいじゅう　だいけっとう！　マグネットＢＯＸ,,1076,16,0021,0001,0041,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒーロー,講談社,0000006,講談社,43357379,ウルトラヒーローｖｓ．ウルトラかいじゅう　だいけっとう！　マグネットＢＯＸ,［バラエティ］,20221208,1563,,
9784807166312,明解歴史総合図説シンフォニア初訂版,,1076,19,0031,0025,0001,書籍,学習参考書,高校学参,社会,日本史,帝国書院編集部,0008071,帝国書院,43399860,明解歴史総合図説シンフォニア初訂版,,20230314,1042,,
9784265809660,妖怪捕物帖乙　冥界彷徨篇　無間地獄は阿鼻の闇４,,1076,16,0041,0005,0005,書籍,児童書,読み物,読み物,低学年読み物,大崎悌造,0000265,岩崎書店,43363706,妖怪捕物帖乙　冥界彷徨篇　無間地獄は阿鼻の闇４,ようかいとりものちょう,20221018,3251,ようかいとりものちょう,
9784083217784,海色ダイアリー　五つ子アイドルもワクワク！　結亜と四季のファッションショー,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,みゆ,0000008,集英社,43409033,海色ダイアリー　五つ子アイドルもワクワク！　結亜と四季のファッションショー,,20230421,4360,,
9784763139863,大きなパンダと小さなドラゴン,,1076,16,0007,0003,0092,書籍,児童書,絵本,海外絵本,海外絵本,ジェームズ・ノーブリー,0007631,サンマーク出版,43388929,大きなパンダと小さなドラゴン,,20230217,2096,,
