JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784834022438,魔女の宅急便　キキともうひとりの魔女,３,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784036506507,杜子春・くもの糸,,杜子春・くもの糸,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,芥川龍之介,偕成社文庫
9784036515707,坊っちゃん,,坊っちゃん,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,夏目漱石,
9784035500902,大どろぼうホッツェンプロッツ三たびあらわる,,大どろぼうホッツェンプロッツ三たびあらわる,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリ－ト・プロイスラ－,偕成社文庫
9784834084436,まく子,,まく子,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,西加奈子,福音館文庫
9784834018080,大きな森の小さな家,,大きな森の小さな家,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ローラ・インガルス・ワイルダー,福音館文庫
9784834027235,魔女の宅急便　キキの恋,４,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784036516100,走れメロス,,走れメロス,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,太宰治,偕成社文庫
9784834027891,魔女の宅急便　それぞれの旅立ち,６,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784036524006,アーサー王物語,,アーサー王物語,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジェイムズ・ノウルズ,偕成社文庫
9784036520008,宝島,,宝島,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ロバート・ルイス・スティーヴンソン,偕成社文庫
9784834027778,魔女の宅急便　魔法のとまり木,５,魔女の宅急便,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,角野栄子,福音館文庫
9784863895911,もののけ屋　二丁目の卵屋にご用心,,もののけ屋　二丁目の卵屋にご用心,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,廣嶋玲子,静山社ペガサス文庫
9784834019872,あしながおじさん,,あしながおじさん,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジーン・ウェブスター,福音館文庫
9784036516308,シートン動物記,１,シートン動物記,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,アーネスト・トンプソン・シートン,偕成社文庫
9784036509409,シャーロック＝ホームズの冒険（下）,,シャーロック＝ホームズの冒険,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,コナン・ドイル,偕成社文庫
