,SHOSINM
413,角川まんが学習シリーズ　日本の歴史　多様化する社会　平成時代〜令和
414,溺愛×ミッション！（１）　エリート学園の超モテスパイ男子たちに溺愛されちゃってます！
415,たべっ子どうぶつバスボール　りんごのかおり
416,小説　ブルーロック
417,はんぶんこ
418,逃走中　激ムズまちがいさがしＢＯＯＫ　ミッションクリアで逃走成功！
419,ひろがるスカイ！プリキュアメイクぬりええほん
420,なぜ？がわかる！　にゃんこ大戦争クイズブック　〜科学のぎもん編〜
421,絶対好きにならない同盟　〜歌姫はラブソングが超ニガテ！〜
422,あかちゃん　あかちゃん
423,化学重要問題集化学基礎・化学　実戦２０２３
424,かいけつゾロリのおやじギャグ＆なぞなぞ大じてん
425,しょうぼうしょ
426,この恋は、ぜったいヒミツ。
427,ひろがるスカイ！プリキュア　へんしんシールえほん
428,相方なんかになりません！　転校生はなにわのお笑い男子！？
429,サキヨミ！　恋と決意の文化祭
430,ひらめきゲット！　Ｌｅｔ’ｓ　ポケなぞ！！
431,小学生がたった１日で１９×１９までかんぺきに暗算できる本
432,パンどろぼうほかほかギフトボックス絵本３冊＋メッセージカード（全３冊セット）
433,鬼滅の刃　キメツ学園！　全集中ドリル　音の呼吸編
434,ＢＴ２１　まちがいをさがせ！
435,速読英単語　上級編［改訂第５版］
436,ふたごの恋の事情　夏休みのキセキ！　旅行先は矢島兄弟といっしょ！？
437,プリキュアオールスターズ　ひろがるスカイ！プリキュア　キラキラシールブック
438,おしりダンディ　ザ・ヤング　きょうりゅうのしま
439,そらまめくんの　いっしょに　あそぼ
440,ディズニープリンセス　ひらがな・カタカナカード　たっぷりあそべる
441,絶叫学級　パーティーのいけにえ　編
442,神スキル！！！　キセキの三きょうだい、登場！
443,ノラネコぐんだん大図鑑　１０周年限定特典付き
444,データベース３３００　基本英単語・熟語
445,おまもりえほん　こどもぼうはんルールブック
446,怪盗レッド　家族の絆は、うばえない☆の巻
447,１００ぴきかぞく
448,小学校の学習に役立つ！　マインクラフトで学ぶ理科クイズ
449,ひろがるスカイ！プリキュア　シールあそびえほん
450,ミラクルラブリー・感動のどうぶつ物語ＤＸ　涙のむこう
451,チャート式基礎と演習数学２＋Ｂ　新課程
452,ゆめがひろがるおんなのこのでんきえほん　全２２話
453,音とカードでおけいこ！　パウ・パトロールとあいうえお
454,大雪のサバイバル
455,まんがイラストずかんパーフェクトコレクション
456,新詳高等地図
457,グレッグのダメ日記　なんだって、やってやる！
458,歴史バトル図鑑　最強！戦国武将決定戦
459,人狼サバイバル　疑心暗鬼！　水の都の人狼ゲーム
460,トミカ　はじめてのひらがなキューブ
461,ミラクルきょうふ！　意味がわかると怖いストーリー
462,食べてうれしい贈ってしあわせ【ハピかわ】お菓子のレシピ
463,恐怖コレクター　宿命の再会
464,星のカービィ　プププヒーロー　星のカービィ　Ｗｉｉ〜ナゾの船とマホロア！！編
465,キミにはないしょ！　運動会、ふたりきりの特訓
466,小説　ブルーロック
467,青鬼外伝　ひろしの秘密の一日
468,まんが日本の歴史大事典
469,ないしょの未来日記　恋愛ギライな私とフキゲンな王子様
470,すみっコぐらし　フェルトマスコットキット
471,世界一クラブ　天才料理王子と対決！？
472,逃走中　オリジナルストーリー　暗闇からハンター！？　夜の遊園地で恐怖に立ちむかえ！
473,総長さま、溺愛中につき。　最強イケメンの溺愛バトルは再加速！？
474,中学生の語彙力アップ１７００［改訂版］
475,マインクラフトで楽しく学べる！　社会のしくみ大図鑑
476,科学探偵ｖｓ．超・自然現象（前）
477,マインクラフトでおふろスタディ　かけざん九九ひょう＆算数ポスター
478,超特大なぞなぞウルトラ大冒険３５１５問！
479,すみっコぐらし　もじ・ことば・おんどく４・５・６歳
480,たべもの
481,激震バトル！外来ＶＳ在来最強生物決定戦
482,ならんだ　くまさんはともだち　モンテッソーリはじめのいっぽ
483,君のとなりで。　この道を、ずっといっしょに
484,王様戦隊キングオージャー
485,世界一クラブ　スター・ダイヤを取りもどせ！
486,おしりたんてい　ププッ　かいていいせきのぼうけん　アニメコミック
487,ポケモンずかんドリル　小学１年生　かん字
488,どっちが強い！？　アフリカウシガエルｖｓオオムカデ　恐怖のゾロゾロ大行進
489,リトル☆バレリーナ　ＳＰ　きらめきストーリー　３つ
490,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事
491,１２歳までに知っておきたい言い換え図鑑
492,戦国姫　徳川家康と愛しき姫君たち　江姫、東福門院和子ほか
493,いつつごうさぎとゆきのもり
494,自分のあたまで考えるドリル　まず、これから。　小学１・２年生めやす　よみとき・なぞとき・ひらめき
495,もふきゅんベイビー！　謎の赤ちゃんに出会ったら、モテ男子と同居が始まりました
496,ミラクルハピネス　心理テスト１４１２
497,イサベル１世
498,角川まんが学習シリーズ日本の歴史５大特典つき全１６巻＋別巻４冊セット（全２０巻セ
499,頭のいい子が育つ葉加瀬太郎の英語のうた　ＣＤ付
500,にゃんこ大戦争でまなぶ！難しい言葉１０００
501,七瀬くん家の３兄弟　恋愛禁止！？　ヒミツの同居はじめました！！
502,ジュニア　空想科学読本
503,桃太郎電鉄でわかる歴史の英雄大図鑑
504,ぼくらのオンライン戦争
